instance,light_feasible,light_total,heavy_feasible,heavy_total,light_best_cost,heavy_best_cost,cost_delta_pct,light_avg_drone_customers,heavy_avg_drone_customers,delta_drone_customers,light_drone_truck_ratio,heavy_drone_truck_ratio
200.10.1,5,5,5,5,4008.1,5425.2,+35.36%,67.6,81.4,+13.8,0.997,0.999
200.10.2,5,5,5,5,4086.7,5663.9,+38.59%,67.0,81.2,+14.2,0.997,1.000
200.10.3,5,5,5,5,3504.8,5222.8,+49.02%,69.6,84.4,+14.8,1.000,1.000
200.10.4,5,5,5,5,3836.0,5200.0,+35.56%,63.0,79.2,+16.2,0.999,0.999
200.20.1,5,5,5,5,7912.7,12575.9,+58.93%,78.4,90.4,+12.0,1.000,1.000
200.20.2,5,5,5,5,7554.0,12093.9,+60.10%,74.6,96.0,+21.4,0.999,0.999
200.20.3,5,5,5,5,7684.7,12042.9,+56.71%,71.6,94.0,+22.4,0.999,1.000
200.20.4,5,5,5,5,7524.3,12232.4,+62.57%,77.0,98.4,+21.4,0.999,1.000
200.30.1,5,5,5,5,13157.4,22316.8,+69.61%,75.6,109.4,+33.8,0.999,0.999
200.30.2,5,5,5,5,13335.6,22353.8,+67.62%,72.2,96.0,+23.8,0.999,1.000
200.30.3,5,5,5,5,14056.1,24098.5,+71.45%,67.6,102.6,+35.0,0.999,1.000
200.30.4,5,5,5,5,13410.6,23608.5,+76.04%,71.8,99.8,+28.0,0.999,1.000
200.40.1,5,5,5,5,19413.4,36658.8,+88.83%,79.8,125.0,+45.2,1.000,1.014
200.40.2,5,5,5,5,22193.3,39110.4,+76.23%,86.8,123.0,+36.2,1.000,1.016
200.40.3,5,5,5,5,22218.6,41859.4,+88.40%,75.2,125.0,+49.8,1.000,1.135
200.40.4,5,5,5,5,22147.3,46766.3,+111.16%,80.4,149.0,+68.6,1.000,1.002
