instance,n,h,d,makespan,total_time,truck_time_sum,drone_time_sum,unserved,feasible,runtime_ms,avg_drone_customers_per_sortie,avg_truck_customers_per_sortie
instance/10.10.1.txt,10,1,1,2718.307387,4935.860336,2718.307387,2217.552949,0,1,1.018081,2.500000,2.500000
instance/10.10.2.txt,10,1,1,2546.796931,4460.088806,2546.796931,1913.291874,0,1,0.737067,3.000000,4.000000
instance/10.10.3.txt,10,1,1,2508.672707,4671.455164,2162.782457,2508.672707,0,1,0.772010,2.000000,4.000000
instance/10.10.4.txt,10,1,1,2318.064317,4261.083443,2318.064317,1943.019126,0,1,0.755679,3.500000,3.000000
instance/10.20.1.txt,10,1,1,4701.279689,8349.956222,4701.279689,3648.676533,0,1,0.743608,2.500000,2.500000
instance/10.20.2.txt,10,1,1,5874.192108,10094.645247,5874.192108,4220.453139,0,1,0.737435,3.000000,2.000000
instance/10.20.3.txt,10,1,1,3698.157887,7074.634018,3376.476130,3698.157887,0,1,0.837472,3.500000,3.000000
instance/10.20.4.txt,10,1,1,4375.225706,8132.998438,4375.225706,3757.772732,0,1,0.995487,3.000000,2.000000
instance/10.5.1.txt,10,1,1,1895.781499,3020.348363,1895.781499,1124.566864,0,1,1.037005,2.500000,2.500000
instance/10.5.2.txt,10,1,1,1179.737462,2331.858655,1152.121192,1179.737462,0,1,1.026315,3.500000,3.000000
instance/10.5.3.txt,10,1,1,1297.452385,2560.923135,1263.470750,1297.452385,0,1,1.018440,2.000000,4.000000
instance/10.5.4.txt,10,1,1,1503.131857,2702.026397,1503.131857,1198.894541,0,1,1.002069,6.000000,4.000000
instance/100.10.1.txt,100,4,4,4358.569445,32862.236219,16558.095990,16304.140229,0,1,32.677937,3.933333,4.100000
instance/100.10.2.txt,100,4,4,4753.468351,33091.516835,17273.900419,15817.616417,0,1,47.172901,3.866667,3.818182
instance/100.10.3.txt,100,4,4,4853.160584,34432.567695,18567.222183,15865.345512,0,1,53.311572,3.866667,3.500000
instance/100.10.4.txt,100,4,4,5209.347081,33484.885137,18054.521379,15430.363758,0,1,40.602431,3.375000,4.181818
instance/100.20.1.txt,100,4,4,11560.041019,68050.239695,39966.336425,28083.903270,0,1,55.120808,3.562500,3.909091
instance/100.20.2.txt,100,4,4,12004.213127,67643.550667,40734.305703,26909.244964,0,1,49.746732,4.133333,3.454545
instance/100.20.3.txt,100,4,4,11905.635846,64693.890953,38353.725780,26340.165173,0,1,51.752754,4.000000,3.333333
instance/100.20.4.txt,100,4,4,10313.607409,59352.287974,32160.099079,27192.188894,0,1,51.459407,3.333333,4.444444
instance/100.30.1.txt,100,4,4,15611.207591,98975.809985,55494.965685,43480.844299,0,1,67.846499,3.555556,3.600000
instance/100.30.2.txt,100,4,4,15656.915689,95729.722693,53931.398432,41798.324261,0,1,53.488903,4.000000,3.200000
instance/100.30.3.txt,100,4,4,17540.270001,113944.050819,65808.004261,48136.046558,0,1,56.202406,3.684211,2.500000
instance/100.30.4.txt,100,4,4,15404.576827,98273.778905,56016.166889,42257.612016,0,1,52.382589,4.058824,2.818182
instance/100.40.1.txt,100,4,4,18904.710338,123730.921315,70410.498863,53320.422452,0,1,54.706034,4.000000,3.555556
instance/100.40.2.txt,100,4,4,18770.335334,126221.023833,68185.084546,58035.939287,0,1,51.865945,3.555556,3.000000
instance/100.40.3.txt,100,4,4,19368.413514,123005.998959,67514.301653,55491.697306,0,1,52.541465,3.777778,2.909091
instance/100.40.4.txt,100,4,4,19378.379235,136386.896127,74411.715047,61975.181080,0,1,53.447827,3.526316,2.750000
instance/1000.10.1.txt,1000,15,15,12953.697259,328683.598187,176678.134850,152005.463336,0,1,7509.120392,2.000000,6.650602
instance/1000.10.2.txt,1000,15,15,12162.576114,312754.805669,165558.852490,147195.953178,0,1,7410.648005,2.004425,6.924051
instance/1000.10.3.txt,1000,15,15,12847.093368,317703.551969,170112.480631,147591.071338,0,1,7225.688152,2.022936,6.987500
instance/1000.10.4.txt,1000,15,15,12101.204675,306926.493888,168322.990571,138603.503318,0,1,7280.416404,2.151659,6.825000
instance/1000.20.1.txt,1000,15,15,19086.006475,508635.079745,261436.907223,247198.172522,0,1,7416.419095,2.117371,7.625000
instance/1000.20.2.txt,1000,15,15,19460.809906,520205.202653,267585.115401,252620.087251,0,1,7260.983108,2.065116,7.413333
instance/1000.20.3.txt,1000,15,15,19550.840513,527176.220019,268745.739787,258430.480232,0,1,7411.302399,2.008772,7.131579
instance/1000.20.4.txt,1000,15,15,19206.730832,520899.280550,265614.786594,255284.493955,0,1,7307.360124,2.035398,7.105263
instance/1000.30.1.txt,1000,15,15,27725.559477,692547.847829,369604.858674,322942.989155,0,1,7561.012777,2.083333,8.214286
instance/1000.30.2.txt,1000,15,15,28254.030185,718736.914957,374803.566186,343933.348771,0,1,7354.316571,2.186603,7.240000
instance/1000.30.3.txt,1000,15,15,28299.271717,715539.646321,377489.251248,338050.395073,0,1,7467.376713,2.080569,7.381579
instance/1000.30.4.txt,1000,15,15,27114.496499,707731.071868,371152.479325,336578.592544,0,1,7392.060776,2.137931,7.648649
instance/1000.40.1.txt,1000,15,15,34907.702069,932760.967351,475139.024868,457621.942482,0,1,7761.252870,1.968326,7.739726
instance/1000.40.2.txt,1000,15,15,34283.740367,932159.355061,482385.251313,449774.103747,0,1,7425.775719,2.093897,7.386667
instance/1000.40.3.txt,1000,15,15,34357.909311,916742.583092,471187.635609,445554.947483,0,1,7597.778179,1.990826,7.753425
instance/1000.40.4.txt,1000,15,15,34435.119603,921081.678046,471231.102760,449850.575286,0,1,7418.621743,2.050926,7.527027
instance/12.10.1.txt,12,1,1,3107.147854,5217.481730,3107.147854,2110.333876,0,1,1.620293,3.500000,2.500000
instance/12.10.2.txt,12,1,1,3021.005306,5574.442427,3021.005306,2553.437120,0,1,0.988403,3.500000,1.666667
instance/12.10.3.txt,12,1,1,2532.534199,4814.653048,2532.534199,2282.118849,0,1,0.907110,3.500000,2.500000
instance/12.10.4.txt,12,1,1,3315.257060,6146.708548,3315.257060,2831.451488,0,1,1.230757,2.333333,2.500000
