Instance,Strategy,Gamma set,Gamma,Repetition
200.20.2,cyclic,,,5
200.20.2,random,,,1
200.20.2,random,,,2
200.20.2,random,,,3
200.20.2,random,,,4
200.20.2,random,,,5
200.20.2,adaptive,g1,"0.3,0.2,0.1,0.3",1
200.20.2,adaptive,g1,"0.3,0.2,0.1,0.3",2
200.20.2,adaptive,g1,"0.3,0.2,0.1,0.3",3
200.20.2,adaptive,g1,"0.3,0.2,0.1,0.3",4
200.20.2,adaptive,g1,"0.3,0.2,0.1,0.3",5
200.20.2,adaptive,g2,"0.5,0.3,0.1,0.3",1
200.20.2,adaptive,g2,"0.5,0.3,0.1,0.3",2
200.20.2,adaptive,g2,"0.5,0.3,0.1,0.3",3
200.20.2,adaptive,g2,"0.5,0.3,0.1,0.3",4
200.20.2,adaptive,g2,"0.5,0.3,0.1,0.3",5
200.20.2,adaptive,g3,"0.3,0.2,0.1,0.6",1
200.20.2,adaptive,g3,"0.3,0.2,0.1,0.6",2
200.20.2,adaptive,g3,"0.3,0.2,0.1,0.6",3
200.20.2,adaptive,g3,"0.3,0.2,0.1,0.6",4
200.20.2,adaptive,g3,"0.3,0.2,0.1,0.6",5
200.20.2,adaptive,g4,"0.5,0.3,0.1,0.6",1
200.20.2,adaptive,g4,"0.5,0.3,0.1,0.6",2
200.20.2,adaptive,g4,"0.5,0.3,0.1,0.6",3
200.20.2,adaptive,g4,"0.5,0.3,0.1,0.6",4
200.20.2,adaptive,g4,"0.5,0.3,0.1,0.6",5
200.20.3,cyclic,,,1
200.20.3,cyclic,,,2
200.20.3,cyclic,,,3
200.20.3,cyclic,,,4
200.20.3,cyclic,,,5
200.20.3,random,,,1
200.20.3,random,,,2
200.20.3,random,,,3
200.20.3,random,,,4
200.20.3,random,,,5
200.20.3,adaptive,g1,"0.3,0.2,0.1,0.3",1
200.20.3,adaptive,g1,"0.3,0.2,0.1,0.3",2
200.20.3,adaptive,g1,"0.3,0.2,0.1,0.3",3
