instance,traffic,run,feasibility,initial_cost,final_cost,elapsed_s,max_truck_time,max_drone_time,num_trucks_active,num_drones_active,drone_customers
200.10.1,heavy,1,yes,11150.53,5425.19,1642.6,5425.19,5423.09,6,4,77
200.10.1,heavy,2,yes,11150.53,5585.86,1611.8,5585.86,5574.47,6,4,82
200.10.1,heavy,3,yes,11150.53,5580.46,1446.0,5580.46,5571.44,6,4,83
200.10.1,heavy,4,yes,11150.53,5625.03,1634.7,5625.03,5625.01,6,4,85
200.10.1,heavy,5,yes,11150.53,5602.43,1611.7,5602.43,5598.57,6,4,80
200.10.1,light,1,yes,7550.20,4008.08,1877.4,4008.08,3992.00,6,4,68
200.10.1,light,2,yes,7550.20,4071.83,1868.6,4071.83,4055.47,6,4,69
200.10.1,light,3,yes,7550.20,4064.49,1870.6,4064.49,4063.97,6,4,61
200.10.1,light,4,yes,7550.20,4043.59,1902.8,4042.56,4043.59,6,4,67
200.10.1,light,5,yes,7550.20,4058.34,1934.6,4058.34,4034.99,6,4,73
200.10.2,heavy,1,yes,10951.55,5785.93,1595.8,5785.93,5785.54,6,4,83
200.10.2,heavy,2,yes,10951.55,5706.12,1577.4,5706.12,5705.31,6,4,83
200.10.2,heavy,3,yes,10951.55,5754.46,1526.6,5754.46,5753.28,6,4,81
200.10.2,heavy,4,yes,10951.55,5731.21,1534.6,5731.21,5720.72,6,4,79
200.10.2,heavy,5,yes,10951.55,5663.88,1513.4,5660.91,5663.88,6,4,80
200.10.2,light,1,yes,7914.49,4119.03,1928.5,4119.03,4111.31,6,4,64
200.10.2,light,2,yes,7914.49,4188.30,1992.9,4188.30,4183.70,6,4,66
200.10.2,light,3,yes,7914.49,4186.05,1894.0,4186.05,4183.37,6,4,72
200.10.2,light,4,yes,7914.49,4086.72,1841.2,4086.72,4072.67,6,4,67
200.10.2,light,5,yes,7914.49,4117.74,1955.3,4117.74,4094.32,6,4,66
200.10.3,heavy,1,yes,10408.01,5231.79,1418.8,5215.88,5231.79,6,4,82
200.10.3,heavy,2,yes,10408.01,5289.77,1373.8,5289.77,5286.35,6,4,80
200.10.3,heavy,3,yes,10408.01,5235.21,1243.0,5235.21,5233.98,6,4,87
200.10.3,heavy,4,yes,10408.01,5222.81,1398.0,5222.81,5221.15,6,4,85
200.10.3,heavy,5,yes,10408.01,5433.67,1050.0,5433.67,5428.30,6,4,88
200.10.3,light,1,yes,8028.30,3554.80,1718.9,3554.80,3548.90,6,4,67
200.10.3,light,2,yes,8028.30,3598.55,1318.5,3587.82,3598.55,6,4,70
200.10.3,light,3,yes,8028.30,3629.45,1743.2,3629.45,3623.12,6,4,73
200.10.3,light,4,yes,8028.30,3504.85,1813.8,3504.85,3504.83,6,4,69
200.10.3,light,5,yes,8028.30,3531.76,1759.8,3531.76,3527.16,6,4,69
200.10.4,heavy,1,yes,11313.63,5200.01,1571.0,5199.59,5200.01,6,4,80
200.10.4,heavy,2,yes,11313.63,5438.66,1519.1,5438.66,5414.20,6,4,79
200.10.4,heavy,3,yes,11313.63,5522.68,1588.3,5522.68,5514.80,6,4,79
200.10.4,heavy,4,yes,11313.63,5357.75,1601.2,5357.75,5356.01,6,4,79
200.10.4,heavy,5,yes,11313.63,5417.21,1585.7,5417.21,5415.04,6,4,79
200.10.4,light,1,yes,7653.98,3934.98,1891.8,3934.98,3933.39,6,4,63
200.10.4,light,2,yes,7653.98,3849.41,1826.2,3849.41,3846.54,6,4,65
200.10.4,light,3,yes,7653.98,3885.05,1873.0,3885.05,3881.71,6,4,64
200.10.4,light,4,yes,7653.98,3924.10,1926.8,3924.10,3921.19,6,4,64
200.10.4,light,5,yes,7653.98,3835.98,1843.5,3835.98,3834.21,6,4,59
200.20.1,heavy,1,yes,23077.78,12575.94,1186.5,12575.94,12575.86,6,4,86
200.20.1,heavy,2,yes,23077.78,12690.32,1244.1,12690.32,12683.02,6,4,96
200.20.1,heavy,3,yes,23077.78,12776.25,1190.7,12776.25,12773.36,6,4,97
200.20.1,heavy,4,yes,23077.78,12652.26,1247.0,12652.26,12646.91,6,4,86
200.20.1,heavy,5,yes,23077.78,12593.89,1357.7,12593.89,12588.58,6,4,87
200.20.1,light,1,yes,16759.09,7950.96,1652.8,7950.96,7947.16,6,4,79
