,depot,WinMart+,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,Trường Mầm non Hoa Mai,Trường mầm non Vườn Hồng,WinMart+,WinMart+,Siêu thị Đức Thành,WinMart+,Siêu Thị T-Mart,Trường Trung học cơ sở Tân Định,Trường Tiểu học Hoàng Liệt,WinMart+,WinMart+,Cục Dự trữ Nhà nước khu vực Hà Nội,Trường Mầm Non Đại Từ,WinMart+,Cà Phê Parkland,Trường Mầm non Định Công (Cơ sở 3),Highlands Coffee,WinMart+,WinMart+,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ),WinMart+,WinMart+,Trường Mầm non Sao Mai,KFC,Trường Đại học Công nghệ và Quản lý Hữu ,Không có tên,WinMart+,Không có tên,WinMart+,MM Mega Market Hoàng Mai,Trường Tiểu học Đại Kim,Không có tên,Không có tên,Cà Phê 3k,Không có tên,WinMart+,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,AEON MaxValu Linh Đàm,WinMart+,WinMart+,WinMart+,Trường Mầm Non Hoạ Mi,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,WinMart+,WinMart+,Trường Mầm non A Tứ Hiệp,Cà Phê KOK,Không có tên,Trường Đại học Kinh tế - Kỹ thuật Công n,WinMart+,Trường Quốc tế Singapore,WinMart+,Trường Tiểu học Tam Hiệp,WinMart+,Delícia Coffee & Lounge,UBND phường Khương Thượng,WinMart+,Siêu thị B11 Kim Liên,WinMart+,Cà Phê Big One,Trường Mầm non Đại Thanh,siêu thị 24h ninja mark,Trường Mầm non Tứ Hiệp (điểm Cổ Điển B),WinMart+,Không có tên,Quan an Nam Nhu 1,WinMart+,Taste Tea,WinMart+,WinMart+,Trường Cao đẳng Hà Nội,TK mark,Hội đồng nhân dân - Ủy ban nhân dân phườ,Trung tâm Công nghệ Phần mềm Thủy lợi,WinMart+,Không có tên,Cafe Dinh,Trường Trung học cơ sở Yên Mỹ,WinMart+,Coffee Cây,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),Trường Mầm non Lĩnh Nam (cơ sở 2),Chợ Nhân Chính,Cục Sở hữu Trí tuệ,WinMart+,Kho bạc Nhà nước Đống Đa,Tịnh Cafe,Trường Mầm non Yên Mỹ,WinMart+,5050 Rooftop Cafe & Pub,Thuế cơ sở 4 thành phố Hà Nội,Trường Trung học cơ sở Lĩnh Nam,WinMart+,WinMart+,WinMart+,Cửa Hàng Tiện Lợi BV Mart,Đảng uỷ - HĐND - UBND phường Thanh Xuân,Starbucks,WinMart+,WinMart+,WinMart+,Phường Ô Chợ Dừa,Chợ Xanh Văn Quán,Noble Moment,WinMart+,Co.opmart,WinMart+,9.0cafe,The Coffee House,Cục Tần số vô tuyến điện,Everything Coffee 'N Bagel,Starbucks,Chợ Trung Kính,Trường Mầm non Kim Lan,WinMart+,Trường Trung học cơ sở Văn Đức,Trung tâm Hỗ trợ doanh nghiệp Hà Nội,Trường Mầm non Văn Đức (điểm Chử Xá),WinMart+
depot,0.000000,28.369323,27.530048,32.778773,27.252443,33.799981,20.791889,38.744416,34.161083,31.490051,32.845366,26.672503,34.360120,31.597043,35.346832,31.308136,39.457852,35.426085,29.705874,28.935791,39.311241,26.087124,25.844172,38.441593,38.332087,34.741868,34.429819,39.138482,41.648686,36.069579,33.284396,27.591939,39.154411,33.041227,38.368163,38.576971,32.938211,27.111372,37.297855,29.776751,37.370122,32.023594,33.065082,38.905703,27.529079,34.908116,33.264717,41.279349,33.953180,31.265477,41.284739,38.844024,26.532247,36.056701,39.389008,36.489045,36.469948,36.430263,31.385641,30.950104,44.572458,33.865392,42.566984,37.629375,39.442842,35.516955,37.420513,39.676813,35.991080,29.211493,31.460799,42.487523,41.336625,42.511996,40.805826,39.410678,40.537495,38.628016,33.109423,34.226391,45.018397,43.586994,44.842712,36.800102,32.098928,44.228660,42.688557,33.779904,37.269765,43.713743,40.252306,43.990465,43.125525,42.784039,32.489061,41.979272,41.660049,42.416531,38.478922,44.525830,40.945084,39.786843,41.194936,40.806122,41.296489,41.981769,42.182479,44.712771,36.977035,33.428582,43.927404,44.438656,43.253821,41.925584,45.762905,41.391885,45.520764,40.029348,39.902589,44.302793,40.322528,43.937340,37.566199,42.632708,38.231189,43.759489
WinMart+,32.621687,0.000000,31.782758,37.091195,41.224954,35.514879,22.725160,46.182069,36.879582,34.964423,37.531541,40.086438,38.238724,35.525628,39.170975,33.637776,44.472911,39.062529,31.606201,40.160474,45.854640,45.224878,34.604636,41.875166,39.597058,37.724306,38.026292,42.673600,45.768111,39.007642,35.435776,41.360465,41.794993,34.778327,41.045461,42.879593,34.963621,34.654206,39.745772,39.015407,46.478454,44.601503,35.083533,42.094063,36.828639,37.147112,44.829447,43.817979,35.637841,32.337802,46.160696,42.039219,35.010549,35.141058,42.969436,38.494332,38.395747,38.438083,41.797443,38.346796,48.215496,35.348658,46.940406,36.815091,42.194557,44.743350,40.791993,53.347106,38.254660,39.199701,37.477475,45.278722,43.594972,45.386544,44.352466,41.864562,52.728136,46.057026,31.967215,35.339076,48.978614,47.068054,50.005268,45.547821,36.250761,47.024428,46.019354,38.300656,39.000928,46.818920,42.270075,47.575219,45.930611,45.504036,36.870728,43.984274,43.616154,45.076731,40.302883,47.981790,42.997024,42.110176,42.837453,42.722103,43.581086,44.161203,44.343679,48.115132,38.595177,34.167348,46.758130,46.817773,45.459958,43.859493,48.638584,38.959202,48.281174,41.653675,41.181260,46.986886,40.960276,46.223840,38.039130,44.594496,38.711240,45.737149
Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,27.973587,30.207473,0.000000,29.997853,25.349623,31.742862,28.588892,34.809069,32.237245,35.561862,30.082569,35.175238,32.013808,29.257116,33.174961,37.457076,36.587439,33.213912,28.441229,36.086169,36.672474,33.270499,31.968995,36.374120,36.696841,32.882117,38.134810,37.060355,39.244721,34.236800,31.400120,34.138531,29.001290,37.402480,27.694782,36.533686,37.897878,32.368417,35.729994,30.050900,35.441881,38.704615,36.223894,37.028454,32.332310,33.485402,39.406151,32.367668,37.883290,36.506688,39.267306,37.269199,31.055733,34.873753,37.740157,35.235240,35.253061,28.349053,30.391259,35.435202,42.494684,37.459439,40.787845,36.449777,38.095800,34.431158,35.894949,45.812413,39.844661,33.672031,33.049289,41.232640,39.973532,40.818831,39.184335,38.150722,46.070364,42.528378,32.258837,36.992087,43.466335,42.118657,42.943581,41.433666,33.236466,42.589793,41.247117,35.115950,36.186699,42.371492,39.243988,42.532906,41.878721,41.558938,33.688481,41.028202,40.709224,41.191850,37.351254,43.127079,39.895724,38.396022,40.369510,39.840368,40.189820,40.965835,41.166387,43.348047,36.001256,36.338421,42.728859,43.413637,42.254322,40.992918,44.613256,40.592035,44.396180,39.172382,39.172346,43.145773,39.888909,42.921466,37.237176,41.675549,37.894614,42.868465
Trường Mầm non Hoa Mai,33.499256,36.761483,28.745165,0.000000,34.258925,32.681883,33.925170,28.782540,33.190851,36.937334,29.697591,39.430798,33.219732,20.784526,34.414560,35.913808,34.183933,34.496764,28.805585,39.582524,38.708846,42.525103,36.144021,37.889137,37.881022,33.926899,38.275840,35.679707,38.608245,35.389636,36.534514,40.372139,36.693331,34.573743,35.620827,38.059199,36.269715,36.022058,36.809149,38.967770,35.677063,42.360045,36.334858,35.807971,37.410682,34.333658,42.685103,39.492409,33.553941,34.225958,41.017027,38.513879,36.057360,35.661101,39.085726,34.204609,36.092944,34.072798,30.801310,38.467799,43.094004,36.296691,42.429829,37.323106,39.203004,35.105881,36.106239,48.074919,33.983550,39.112713,42.085623,42.378593,39.897434,40.914552,40.587295,39.181523,48.092994,44.386398,32.702846,40.497445,45.034588,43.529944,44.859436,43.700913,36.469298,43.127950,42.584000,38.869284,35.533995,43.667042,40.119750,43.960675,43.075280,42.697445,37.118464,41.876987,41.549930,42.330796,36.822564,44.513771,40.794737,38.777982,41.086310,40.664765,41.154904,41.881240,42.090160,44.709999,36.713188,38.428910,43.900742,44.420051,43.194638,41.825956,45.801688,41.292734,45.543283,39.881580,39.790809,44.285030,39.823625,43.911840,37.042276,42.558580,37.731933,43.726454
Trường mầm non Vườn Hồng,34.802146,38.974539,25.603269,31.596119,0.000000,34.000773,29.288900,45.212571,34.482784,38.844010,31.085750,41.280101,35.007463,29.775586,36.202694,37.304668,43.231315,36.297916,29.222098,41.148579,41.621255,44.400857,37.219446,39.929716,39.358536,35.279846,39.893736,41.406483,45.353986,36.863154,37.633249,41.865304,40.708289,35.398883,39.740098,40.051495,37.311923,36.986213,38.119968,30.117936,37.194576,44.104019,37.352993,40.845290,38.289100,35.307648,44.294149,43.226526,34.215930,34.847461,43.289540,39.960814,36.799069,36.519122,40.706028,37.203639,36.990025,37.095646,31.220840,39.473823,48.646367,36.953693,44.501616,38.246554,40.444723,35.923075,37.380880,50.279408,34.697183,40.022085,44.541941,43.728015,43.129798,45.173280,42.221895,40.305014,50.132921,45.475661,33.116849,41.200407,46.908874,45.173828,47.298152,44.952653,37.962626,47.164509,44.175445,40.772424,38.040075,45.133317,41.020572,45.680554,44.363640,44.008755,38.711295,42.876945,42.525732,43.560401,39.458516,46.187460,41.777303,42.060114,41.905905,41.617128,42.278137,42.964827,43.148169,46.371381,37.434204,38.937011,45.272273,45.596005,44.288575,42.772410,47.209591,42.065639,46.893930,40.691633,40.354294,45.569392,40.653144,45.013032,37.676861,43.476938,38.364910,44.699577
WinMart+,34.066335,34.710941,34.218256,36.146498,33.778242,0.000000,29.802542,42.269017,32.008233,35.699675,35.409553,37.371145,33.848384,34.169374,35.168063,31.959651,41.995992,32.600686,26.296847,32.505373,38.641713,42.206521,33.485988,38.237440,38.747952,32.150427,39.535293,41.073968,43.506790,34.447280,35.809068,39.248495,40.671645,35.013496,39.998329,36.922765,35.292794,35.769438,32.441558,37.725471,39.894050,41.930675,35.442349,40.720640,35.804825,33.256210,42.402856,42.530529,34.399985,32.143618,39.688194,33.357098,34.228540,38.622014,38.029696,37.872072,32.527125,37.850479,29.140105,37.252124,45.855386,35.642376,36.647086,40.157801,36.398900,31.922372,37.083694,49.827999,38.964771,38.051707,36.738138,33.097634,42.416784,43.734888,36.667692,33.138864,49.655835,44.553113,32.912217,35.562740,40.732967,39.212317,43.271704,43.752754,35.816695,45.256239,38.167432,37.646588,38.401112,39.817956,36.533007,39.768108,39.309910,39.092249,36.389675,37.131533,32.247217,36.455999,39.601399,40.644287,37.528687,40.660357,33.836879,35.978914,37.734103,36.715818,37.222263,40.983369,37.912970,34.261201,40.562934,41.744026,38.517815,37.157221,42.902658,39.353615,42.710813,37.157081,35.713334,41.154678,40.701685,41.162071,37.931586,39.804061,38.580932,41.349087
WinMart+,20.938917,46.227822,27.712452,40.902491,44.598224,37.171567,0.000000,47.198119,40.238089,37.476310,41.383019,38.855876,39.433369,39.813198,42.234824,40.638070,45.909530,41.753630,33.389955,39.596172,47.007749,33.404804,30.909798,43.602268,36.635714,40.468747,41.885201,44.460465,46.645661,41.360078,30.111802,35.142796,30.707307,39.735267,29.573414,44.650629,41.124481,31.660606,37.733410,34.555063,47.250199,44.181405,37.789305,43.936082,31.936757,39.496539,44.611043,34.543958,40.129206,37.866744,46.946091,43.716690,30.047397,39.166680,44.580193,40.380792,36.821900,29.808074,43.058469,36.516661,48.604512,39.201474,47.407906,40.872330,43.688730,39.573779,42.384635,56.333589,42.932341,34.053199,34.781853,41.104240,44.736749,46.361601,45.467961,43.243719,54.946581,46.254204,34.376757,38.065357,49.002523,47.473557,49.761532,45.848747,34.322884,47.662947,46.594674,37.331952,40.581127,47.239014,37.794386,47.821694,46.539791,46.079172,34.829961,39.338159,34.446729,45.811465,41.817183,48.142344,38.437646,35.543827,35.753984,38.275473,44.362076,39.119171,39.567465,48.229379,40.384600,36.965825,47.081600,38.796267,40.795386,39.327743,48.650481,42.192327,42.059680,38.152736,37.515490,47.299513,41.980917,39.808340,39.030888,45.210601,39.679203,39.227036
Siêu thị Đức Thành,37.854927,42.296816,33.372462,28.982057,42.742993,37.150012,37.191643,0.000000,37.419672,41.659524,36.097514,43.670803,38.873589,25.305830,39.574817,39.674085,41.230214,39.748389,31.482129,43.196865,45.328739,46.352979,39.150551,42.745559,41.480618,38.175012,42.037068,39.721494,45.491363,39.552537,39.379378,43.715833,39.450934,37.077791,38.122305,42.831241,39.080487,38.696545,40.232966,41.473854,39.938981,45.970378,39.088776,39.221233,39.761636,37.436491,46.012292,42.764703,35.904072,36.342167,45.772669,42.060737,38.219588,38.233068,42.899196,35.667752,38.704911,35.472831,32.905495,40.887692,50.177945,38.249963,46.549328,39.805564,42.188132,37.423346,39.436434,51.835632,36.164290,41.364220,44.498167,45.099250,42.825012,45.332331,44.191305,41.887792,51.542018,46.561589,34.415354,42.173524,48.508470,46.740701,49.327823,46.239398,37.242508,47.853081,45.768669,40.246253,36.994939,46.543349,42.254102,47.224751,45.714239,45.321456,38.022769,43.913245,43.570609,44.911716,38.558774,47.624214,42.950503,42.369342,42.809077,42.700230,43.510251,44.065138,44.239250,47.759025,38.774636,39.724016,46.519569,46.623697,45.333400,43.781270,48.325073,42.904114,48.004695,41.669130,41.204897,46.741168,40.400729,46.036900,37.336663,44.483641,38.056705,45.592463
WinMart+,31.544923,36.633657,30.461496,32.224319,28.726008,29.617768,33.022429,39.375861,0.000000,37.371415,31.820165,40.587540,29.404501,30.732758,29.607969,34.550627,39.993953,33.375435,24.874079,40.581308,35.144171,44.525096,36.029562,40.824060,39.657881,32.545594,39.316308,39.495213,42.294968,35.514043,36.592434,41.511779,39.414438,34.284438,38.584495,35.460884,36.228791,35.928520,37.834870,39.495729,40.079657,44.140121,36.319267,39.227778,37.594678,33.728224,44.381670,41.637555,32.785997,33.490950,39.709331,36.727379,35.972356,35.812495,37.374326,36.583215,36.433628,36.516688,28.908697,38.898117,45.336697,30.334124,37.697494,38.156497,37.903215,35.065689,36.173614,51.349835,33.538630,39.614878,43.301638,39.475385,41.686596,43.020577,39.448469,38.014898,51.012367,45.693763,31.881989,32.270129,42.139255,40.345369,44.934355,45.143548,37.666123,44.813237,39.143579,38.664061,37.394340,40.896751,37.114136,40.951005,40.282781,39.977391,38.342481,39.736516,39.360015,37.096737,38.661884,41.851980,38.133285,40.198346,39.145791,38.236533,38.395759,39.544006,39.802449,42.198984,35.375111,36.530252,41.563537,42.637079,41.221743,39.720792,44.043709,39.551896,43.793845,37.611699,37.765608,42.155126,40.379057,42.021917,37.575276,40.538016,38.241070,42.093191
Siêu Thị T-Mart,33.233614,33.889722,32.935260,38.930699,38.075313,35.468542,27.284021,44.813175,36.222097,0.000000,36.544589,38.387799,41.608457,35.245755,37.671174,26.107459,43.965677,37.699333,30.459364,31.121066,41.415518,44.996747,32.775330,41.536371,31.260649,36.301661,43.224762,42.686559,44.997483,38.002798,35.868319,40.559791,35.713471,34.738931,41.408765,40.320145,35.075656,35.758105,35.902147,38.226123,42.911058,44.292338,35.291001,42.242422,35.863415,36.043408,44.607040,37.612860,36.116372,31.064082,42.720510,35.548493,33.953110,35.335881,40.752530,39.106240,35.123244,39.118635,31.525179,37.563774,46.907042,35.614229,38.931591,37.691563,38.146969,36.887022,39.458759,54.369938,39.875378,38.559621,36.903109,39.050129,43.376357,44.787625,41.975601,34.920154,53.515547,46.048477,31.164882,35.510579,42.220756,40.758665,45.882207,45.497199,35.804754,46.128138,39.815053,37.863972,39.430138,41.156936,35.417925,41.282826,40.614336,40.400711,36.427197,37.331672,31.737274,37.962216,40.618148,42.010231,36.219140,41.419948,33.608250,36.031116,39.034610,36.875529,37.454588,42.283585,39.041115,34.063292,41.739253,36.843085,38.925563,37.366843,43.847411,39.777988,40.505510,36.374697,35.679016,42.202571,41.086573,38.073836,38.300776,36.925344,38.942686,37.622502
