,depot,WinMart+,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,Trường Mầm non Hoa Mai,Trường mầm non Vườn Hồng,WinMart+,WinMart+,Siêu thị Đức Thành,WinMart+,Siêu Thị T-Mart,Trường Trung học cơ sở Tân Định,Trường Tiểu học Hoàng Liệt,WinMart+,WinMart+,Cục Dự trữ Nhà nước khu vực Hà Nội,Trường Mầm Non Đại Từ,WinMart+,Cà Phê Parkland,Trường Mầm non Định Công (Cơ sở 3),Highlands Coffee,WinMart+,WinMart+,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ),WinMart+,WinMart+,Trường Mầm non Sao Mai,KFC,Trường Đại học Công nghệ và Quản lý Hữu ,Không có tên,WinMart+,Không có tên,WinMart+,MM Mega Market Hoàng Mai,Trường Tiểu học Đại Kim,Không có tên,Không có tên,Cà Phê 3k,Không có tên,WinMart+,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,AEON MaxValu Linh Đàm,WinMart+,WinMart+,WinMart+,Trường Mầm Non Hoạ Mi,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,WinMart+,WinMart+,Trường Mầm non A Tứ Hiệp,Cà Phê KOK,Không có tên,Trường Đại học Kinh tế - Kỹ thuật Công n,WinMart+,Trường Quốc tế Singapore,WinMart+,Trường Tiểu học Tam Hiệp,WinMart+,Delícia Coffee & Lounge,UBND phường Khương Thượng,WinMart+,Siêu thị B11 Kim Liên,WinMart+,Cà Phê Big One,Trường Mầm non Đại Thanh,siêu thị 24h ninja mark,Trường Mầm non Tứ Hiệp (điểm Cổ Điển B),WinMart+,Không có tên,Quan an Nam Nhu 1,WinMart+,Taste Tea,WinMart+,WinMart+,Trường Cao đẳng Hà Nội,TK mark,Hội đồng nhân dân - Ủy ban nhân dân phườ,Trung tâm Công nghệ Phần mềm Thủy lợi,WinMart+,Không có tên,Cafe Dinh,Trường Trung học cơ sở Yên Mỹ,WinMart+,Coffee Cây,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),Trường Mầm non Lĩnh Nam (cơ sở 2),Chợ Nhân Chính,Cục Sở hữu Trí tuệ,WinMart+,Kho bạc Nhà nước Đống Đa,Tịnh Cafe,Trường Mầm non Yên Mỹ,WinMart+,5050 Rooftop Cafe & Pub,Thuế cơ sở 4 thành phố Hà Nội,Trường Trung học cơ sở Lĩnh Nam,WinMart+,WinMart+,WinMart+,Cửa Hàng Tiện Lợi BV Mart,Đảng uỷ - HĐND - UBND phường Thanh Xuân,Starbucks,WinMart+,WinMart+,WinMart+,Phường Ô Chợ Dừa,Chợ Xanh Văn Quán,Noble Moment,WinMart+,Co.opmart,WinMart+,9.0cafe,The Coffee House,Cục Tần số vô tuyến điện,Everything Coffee 'N Bagel,Starbucks,Chợ Trung Kính,Trường Mầm non Kim Lan,WinMart+,Trường Trung học cơ sở Văn Đức,Trung tâm Hỗ trợ doanh nghiệp Hà Nội,Trường Mầm non Văn Đức (điểm Chử Xá),WinMart+
depot,0.000000,25.038548,22.107400,25.517144,20.715547,25.503441,15.698058,28.722917,25.350767,23.203828,24.214685,19.705599,25.165287,23.284402,25.762998,22.822364,28.777139,25.775083,21.721099,21.122943,28.561994,19.038714,18.858952,27.772909,27.686388,25.148419,24.617270,28.416096,30.034510,26.035660,23.885526,19.992629,28.346098,23.750336,27.745935,27.749425,23.649112,19.471797,26.798966,21.506851,26.875600,23.033534,23.689378,28.085794,19.895507,25.061237,23.895331,29.687211,24.417007,22.427477,29.523143,27.864278,19.182987,25.870086,28.296013,26.700815,26.137975,26.506070,22.494886,22.067237,31.987043,24.234636,30.297833,26.918897,28.263894,25.231299,26.558713,28.254881,25.421541,21.004049,22.638717,30.189723,29.913389,30.653916,29.131195,28.140695,28.781373,27.571514,23.634864,24.423273,31.999692,31.005363,31.828396,26.340475,22.950219,31.840059,30.309810,23.982495,27.292780,31.076326,28.755465,31.162308,30.724248,30.356198,23.160774,29.545266,29.404682,30.199767,27.875671,31.511427,29.058660,31.466608,29.112738,28.837542,29.230900,29.673804,29.862011,31.598329,26.411488,23.712515,31.060869,31.375043,30.500617,29.657295,32.304355,29.177516,32.076005,28.279525,28.368844,31.369024,28.823583,31.085508,26.961828,30.247391,27.370044,30.886909
WinMart+,29.062880,0.000000,24.881078,28.392184,31.025229,26.567692,17.024352,34.106463,27.231982,25.698861,27.568433,29.508677,27.955039,26.106219,28.536093,24.494275,32.376279,28.392258,23.076232,29.277706,33.274952,32.971482,25.228718,30.275609,28.617345,27.292052,27.268117,30.975099,33.021293,28.153195,25.498104,29.972905,30.263472,25.031806,29.691732,30.863450,25.140129,24.917754,28.580231,28.197178,33.447487,32.102430,25.181600,30.411952,26.638943,26.691361,32.231442,31.542356,25.653284,23.219534,33.077437,30.188337,25.341134,25.241385,30.903730,28.200818,27.551049,28.001366,29.994534,27.423557,34.646982,25.329625,33.535915,26.373095,30.278731,31.932125,29.096526,38.110117,27.157896,28.232225,27.013004,32.306574,31.601557,32.783254,31.717729,29.944896,37.599561,32.933020,22.860737,25.263139,34.937235,33.584265,35.642700,32.664621,25.968862,33.918818,32.801654,27.297794,28.614966,33.387584,30.258451,33.869710,32.790459,32.416204,26.339775,31.131524,30.960545,32.163783,29.260516,34.134667,30.626366,33.289261,30.448780,30.367294,31.005078,31.396703,31.547655,34.202935,27.634122,24.327893,33.243903,33.253393,32.249859,31.186063,34.543285,27.630642,34.230089,29.597161,29.355235,33.418837,29.357716,32.862721,27.374730,31.743391,27.788758,32.479341
Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,22.432880,23.239869,0.000000,22.179789,18.393872,22.985889,20.841497,24.902161,23.143550,25.384614,21.517971,25.301355,22.796505,21.031436,23.547737,26.610701,26.023120,23.579017,20.348494,25.788078,26.046412,23.791270,22.867220,25.709199,25.938854,23.315636,26.691613,26.414590,27.728229,24.224933,22.085437,24.306000,20.635260,26.370420,19.691493,25.787194,26.703755,22.818788,25.203169,21.358183,25.065589,27.395902,25.493293,26.319584,23.011260,23.648460,27.878720,22.932031,26.841786,25.778899,27.612480,26.339473,22.133602,24.665963,26.729688,25.428055,24.905940,20.344629,21.483814,24.866774,30.083597,26.415766,28.580328,25.699498,26.937704,24.084881,25.086660,32.128990,27.714723,23.899575,23.477454,28.860524,28.561818,29.062629,27.578774,26.868752,32.231060,29.940251,22.720079,26.037670,30.451338,29.530817,30.043590,29.297761,23.476893,30.293369,28.873068,24.580204,26.190487,29.701409,27.704723,29.710688,29.439729,29.079517,23.722659,28.476682,28.338341,28.941016,26.750649,30.106189,27.930277,30.087136,28.143899,27.775492,28.065363,28.567219,28.752940,30.224647,25.427842,25.434862,29.812856,30.245449,29.401672,28.615623,31.078302,28.237413,30.872887,27.312231,27.509673,30.152508,28.205121,29.973498,26.438582,29.187741,26.838838,29.869044
Trường Mầm non Hoa Mai,26.026831,27.653263,21.287620,0.000000,24.650086,23.499956,24.573753,20.470309,23.707360,26.240214,21.151451,28.237076,23.564896,14.881796,24.343769,25.432830,24.241255,24.419975,20.543589,28.199324,27.425190,30.321818,25.781613,26.719921,26.718550,24.008413,26.733901,25.369543,27.228972,24.997502,25.652224,28.682327,26.053242,24.338619,25.275944,26.825812,25.521075,25.360723,25.931274,27.646049,25.202431,29.937723,25.542286,25.410115,26.582591,24.223052,30.154198,27.936434,23.738001,24.146681,28.816945,27.189187,25.662537,25.187442,27.644561,24.652293,25.473865,24.421148,21.745178,26.975684,30.469395,25.579473,29.711411,26.299641,27.687828,24.542058,25.219554,33.697399,23.624441,27.731423,29.865010,29.648229,28.478575,29.101356,28.554419,27.583912,33.632394,31.237082,23.024949,28.495659,31.539505,30.510756,31.374282,30.873889,25.738057,30.650351,29.801154,27.200767,25.697940,30.602936,28.300240,30.701649,30.275755,29.870940,26.133153,29.060529,28.919044,29.737991,26.354029,31.070695,28.557066,30.356758,28.641034,28.348005,28.737534,29.203955,29.397018,31.173222,25.914847,26.897987,30.630387,30.946644,30.056198,29.197956,31.907181,28.725898,31.672008,27.808458,27.946607,30.951413,28.144871,30.668192,26.287579,29.809828,26.711035,30.470567
Trường mầm non Vườn Hồng,26.733065,29.224707,18.901125,23.105688,0.000000,24.547801,21.259673,32.380385,24.753251,27.790694,22.262236,29.673289,25.002482,21.407107,25.806888,26.602324,30.844251,25.869892,20.939186,29.454345,29.662828,31.812959,26.678276,28.382484,27.975893,25.114216,28.142998,29.595591,32.223117,26.207774,26.676520,29.904569,29.060922,25.119001,28.353618,28.433919,26.465987,26.240340,27.051330,21.488006,26.425735,31.345646,26.474489,29.149612,27.361654,25.064358,31.468510,30.751751,24.343981,24.732964,30.663388,28.371822,26.340644,25.940878,28.955312,26.965535,26.256058,26.739342,22.167198,27.929761,34.592971,26.205292,31.463530,27.119071,28.730317,25.376837,26.394217,35.560559,24.385166,28.545489,31.796594,30.897209,30.969898,32.322894,29.909152,28.559395,35.413295,32.216624,23.465421,29.184333,33.155297,31.940494,33.408511,31.951937,26.955240,33.723329,31.209784,28.804790,27.674466,31.907117,29.113472,32.241427,31.403308,31.085123,27.423238,30.090038,29.932771,30.825104,28.416040,32.587368,29.514417,33.003083,29.544217,29.342315,29.836244,30.301275,30.452699,32.701619,26.593926,27.506870,31.935640,32.132869,31.174331,30.178477,33.270252,29.604609,32.992166,28.694119,28.550110,32.167391,28.922220,31.763504,26.915877,30.719962,27.340119,31.509322
WinMart+,25.853043,25.729611,25.072744,26.260353,24.226419,0.000000,21.524183,30.060054,22.866104,25.390738,25.241753,26.743385,24.063832,24.460636,24.942061,22.694022,29.837690,23.138940,18.767092,23.174507,27.429569,30.122670,23.909450,27.068786,27.435663,22.799147,27.723467,29.247107,30.793757,24.398260,25.254113,27.931540,28.927752,24.753717,28.433776,26.116974,24.942745,25.285287,22.938876,26.819985,28.242706,29.695395,25.031409,28.959135,25.497534,23.525657,30.020174,30.152036,24.390652,22.735410,28.015873,23.602329,24.418197,27.341548,26.960199,27.361203,23.010513,27.194267,20.620615,26.261068,32.499824,25.191321,25.799024,28.379767,25.770876,22.436836,26.042818,35.117356,27.235060,27.050419,26.139397,23.283726,30.358742,31.191333,25.888908,23.404243,34.920270,31.459207,23.243859,25.108328,28.688799,27.634714,30.437135,30.997913,25.348886,32.254791,26.864332,26.497671,27.851296,28.058292,25.844917,27.935797,27.736109,27.509436,25.695561,25.918679,22.576937,25.714294,28.428990,28.538712,26.427211,31.863192,23.728726,25.232136,26.507793,25.756998,26.154978,28.748923,26.846588,24.124956,28.475005,29.261033,26.967006,26.099214,30.072926,27.547025,29.887277,26.070776,25.183469,28.944071,28.861896,28.928636,27.009608,28.032521,27.404485,28.996033
WinMart+,15.558675,33.521332,19.955963,29.191583,31.321905,26.136658,0.000000,32.866952,28.164902,26.090475,28.897482,27.373865,27.433446,28.110451,29.308284,28.236975,31.948269,29.005256,23.475962,27.790298,32.695424,23.512841,21.768193,30.191906,25.373136,28.123462,28.715963,31.191837,32.308350,28.693118,20.761740,24.642377,21.509500,27.475612,20.697365,30.916255,28.425391,21.896315,26.113227,24.201280,32.792947,30.690595,26.096612,30.797765,22.418104,27.380311,30.982599,24.066019,27.966807,26.251356,32.406953,30.334747,21.128384,27.212289,31.072390,28.762866,25.547515,21.112775,29.897263,25.164404,33.868954,27.151543,32.622519,28.305104,30.380629,27.185800,29.091032,38.803480,29.324124,23.857138,24.389802,28.260675,31.557843,32.588242,31.441660,29.923811,37.764684,31.995189,23.789859,26.326210,33.728801,32.703539,34.203781,31.956926,23.869241,33.475582,32.049157,25.677180,29.012344,32.540479,26.262429,32.825723,32.153162,31.684926,24.105443,26.827473,23.562477,31.633724,29.580302,33.027389,26.446911,27.635103,24.496723,26.225025,30.446736,26.810354,27.161934,33.050365,28.130867,25.432027,32.287088,26.565041,27.899183,26.983740,33.310128,28.847274,28.746516,26.146582,25.898960,32.491995,29.320478,27.326320,27.374120,31.127074,27.760327,26.867439
Siêu thị Đức Thành,28.383450,31.129888,24.323588,20.970194,30.606422,26.604734,26.822357,0.000000,26.701107,29.632815,25.714186,31.242848,27.628053,18.116681,28.082236,28.169843,29.295300,28.215320,22.477655,30.811621,32.187968,33.103600,27.973900,30.279856,29.386012,27.088531,29.566094,28.310304,32.223088,28.037401,27.830734,31.144269,28.090128,26.237831,27.130869,30.327145,27.647943,27.383386,28.479083,29.521883,28.307629,32.595488,27.638682,27.930231,28.354023,26.516143,32.617777,30.358842,25.491841,25.739203,32.352960,29.801433,27.305992,27.104321,30.456442,25.808503,27.420082,25.525860,23.319228,28.873939,35.617509,27.074372,32.848813,28.173396,29.916219,26.387461,27.795512,36.595768,25.380693,29.455634,31.715320,31.810817,30.704927,32.387595,31.253135,29.633072,36.348235,32.933622,24.347249,29.827061,34.231613,32.996761,34.787414,32.818921,26.405485,34.168724,32.286511,28.390432,26.880756,32.855793,29.947185,33.282193,32.313731,31.966463,26.898405,30.786217,30.638914,31.738331,27.734785,33.554533,30.302380,33.210777,30.146668,30.070486,30.664773,31.035693,31.181731,33.635743,27.513001,28.027272,32.773286,32.823913,31.884333,30.851636,34.020783,30.171477,33.747927,29.347527,29.117927,32.955412,28.711309,32.447768,26.644660,31.395343,27.091854,32.101278
WinMart+,23.486877,26.726732,22.085234,23.202321,20.417511,21.097627,23.706710,27.805325,0.000000,26.413822,22.564945,28.907853,20.788235,21.905074,20.886435,24.411998,28.291377,23.587049,17.682439,28.820510,24.847570,31.661714,25.633870,28.769572,27.957926,22.994676,27.441868,28.027625,29.829294,25.066040,25.697431,29.446772,27.943561,24.148340,27.342142,25.000628,25.513056,25.315727,26.667140,27.994524,28.286505,31.164894,25.562472,27.817140,26.696155,23.788689,31.329245,29.434438,23.180331,23.620264,27.942230,25.913593,25.594004,25.282317,26.423527,26.365030,25.703602,26.170423,20.401766,27.327739,32.047654,21.382244,26.448481,26.894020,26.766291,24.563019,25.317983,36.070044,23.361815,28.091753,30.733507,27.679005,29.764809,30.607871,27.781608,26.780305,35.758192,32.183879,22.460257,22.727124,29.585129,28.350178,31.506335,31.906700,26.593807,31.865046,27.465249,27.128888,27.062774,28.739087,26.194004,28.677228,28.354719,28.045759,27.010546,27.649265,27.470896,26.104567,27.693845,29.296827,26.772387,31.465733,27.367748,26.733553,26.890851,27.656699,27.883557,29.511902,24.993033,25.648602,29.089663,29.796838,28.772712,27.816446,30.779966,27.602305,30.552709,26.310991,26.570312,29.560160,28.570259,29.445848,26.698020,28.485079,27.104237,29.430881
Siêu Thị T-Mart,24.691834,24.737133,23.874441,28.036629,27.121810,25.299021,19.604172,31.729482,25.757052,0.000000,25.949450,27.379014,29.480483,25.159075,26.651253,18.483086,31.149897,26.685472,21.688379,22.138340,29.329454,32.050867,23.358073,29.344790,22.087531,25.692560,30.275429,30.346708,31.791503,26.870419,25.280126,28.824694,25.366585,24.521408,29.398214,28.478977,24.753798,25.242429,25.352018,27.145801,30.341554,31.331139,24.893849,30.011971,25.515470,25.469660,31.548052,26.639934,25.583664,21.950281,30.125812,25.129688,24.204036,24.993597,28.867251,28.237774,24.826604,28.089555,22.290996,26.466674,33.221934,25.152576,27.411300,26.618053,26.991081,25.936995,27.722624,38.299557,27.882114,27.398849,26.245237,27.482725,31.034661,31.930227,29.621196,24.650001,37.656826,32.499917,21.999903,25.060360,29.729653,28.711388,32.287120,32.223336,25.331970,32.868272,28.026162,26.652504,28.594730,28.991394,25.049069,29.023515,28.647956,28.435008,25.715299,26.078608,22.238615,26.770351,29.157123,29.524785,25.499031,32.447844,23.590168,25.292509,27.448115,25.894266,26.343305,29.690791,27.643970,23.982431,29.331312,25.852547,27.280853,26.275068,30.768456,27.874185,28.375017,25.550754,25.159418,29.691918,29.137439,26.778035,27.276006,26.005763,27.664870,26.414157
